Minerals,Import dependency,Countries,Relationship,Net_import_reliance,Year
Rhodium,Low Dependency,Russia,Competitor,34,2019
Rhodium,Low Dependency,Russia,Competitor,34,2020
Rhodium,Low Dependency,Russia,Competitor,35,2021
Rhodium,Low Dependency,Russia,Competitor,31,2022
Rhodium,Low Dependency,Russia,Competitor,37,2023
Rubidium,Total Dependency,China,Competitor,100,2019
Rubidium,Total Dependency,China,Competitor,100,2020
Rubidium,Total Dependency,China,Competitor,100,2021
Rubidium,Total Dependency,China,Competitor,100,2022
Rubidium,Total Dependency,China,Competitor,100,2023
Ruthenium,Low Dependency,Russia,Competitor,34,2019
Ruthenium,Low Dependency,Russia,Competitor,34,2020
Ruthenium,Low Dependency,Russia,Competitor,35,2021
Ruthenium,Low Dependency,Russia,Competitor,31,2022
Ruthenium,Low Dependency,Russia,Competitor,37,2023
Samarium,Total Dependency,China,Competitor,100,2019
Samarium,Total Dependency,China,Competitor,100,2020
Samarium,Total Dependency,China,Competitor,95,2021
Samarium,Total Dependency,China,Competitor,95,2022
Samarium,Total Dependency,China,Competitor,95,2023
Scandium,Total Dependency,China,Competitor,100,2019
Scandium,Total Dependency,China,Competitor,100,2020
Scandium,Total Dependency,China,Competitor,95,2021
Scandium,Total Dependency,China,Competitor,95,2022
Scandium,Total Dependency,China,Competitor,95,2023
Tantalum,Total Dependency,Australia,Ally,100,2019
Tantalum,Total Dependency,Australia,Ally,100,2020
Tantalum,Total Dependency,Australia,Ally,100,2021
Tantalum,Total Dependency,Australia,Ally,100,2022
Tantalum,Total Dependency,Australia,Ally,100,2023
Tellurium,High Dependency,Philipines,Neutral,50,2019
Tellurium,High Dependency,Philipines,Neutral,75,2020
Tellurium,High Dependency,Philipines,Neutral,50,2021
Tellurium,High Dependency,Philipines,Neutral,50,2022
Tellurium,High Dependency,Philipines,Neutral,50,2023
Terbium,Total Dependency,China,Competitor,100,2019
Terbium,Total Dependency,China,Competitor,100,2020
Terbium,Total Dependency,China,Competitor,95,2021
Terbium,Total Dependency,China,Competitor,95,2022
Terbium,Total Dependency,China,Competitor,95,2023
Thulium,Total Dependency,China,Competitor,100,2019
Thulium,Total Dependency,China,Competitor,100,2020
Thulium,Total Dependency,China,Competitor,95,2021
Thulium,Total Dependency,China,Competitor,95,2022
Thulium,Total Dependency,China,Competitor,95,2023
Tin,High Dependency,Peru,Neutral,76,2019
Tin,High Dependency,Peru,Neutral,76,2020
Tin,High Dependency,Peru,Neutral,81,2021
Tin,High Dependency,Peru,Neutral,77,2022
Tin,High Dependency,Peru,Neutral,74,2023
Titanium,High Dependency,South Africa,Neutral,92,2019
Titanium,High Dependency,South Africa,Neutral,89,2020
Titanium,High Dependency,South Africa,Neutral,90,2021
Titanium,High Dependency,South Africa,Neutral,81,2022
Titanium,High Dependency,South Africa,Neutral,75,2023
Tungsten,High Dependency,China,Competitor,50,2019
Tungsten,High Dependency,China,Competitor,50,2020
Tungsten,High Dependency,China,Competitor,50,2021
Tungsten,High Dependency,China,Competitor,50,2022
Tungsten,High Dependency,China,Competitor,50,2023
Vanadium,High Dependency,Canada,Ally,65,2019
Vanadium,High Dependency,Canada,Ally,59,2020
Vanadium,High Dependency,Canada,Ally,61,2021
Vanadium,High Dependency,Canada,Ally,60,2022
Vanadium,High Dependency,Canada,Ally,58,2023
Ytterbium,Total Dependency,China,Competitor,100,2019
Ytterbium,Total Dependency,China,Competitor,100,2020
Ytterbium,Total Dependency,China,Competitor,95,2021
Ytterbium,Total Dependency,China,Competitor,95,2022
Ytterbium,Total Dependency,China,Competitor,95,2023
Yttrium,Total Dependency,China,Competitor,100,2019
Yttrium,Total Dependency,China,Competitor,100,2020
Yttrium,Total Dependency,China,Competitor,95,2021
Yttrium,Total Dependency,China,Competitor,95,2022
Yttrium,Total Dependency,China,Competitor,95,2023
Zinc,High Dependency,Peru,Neutral,88,2019
Zinc,High Dependency,Peru,Neutral,79,2020
Zinc,High Dependency,Peru,Neutral,76,2021
Zinc,High Dependency,Peru,Neutral,77,2022
Zinc,High Dependency,Peru,Neutral,77,2023
Zirconium,Low Dependency,South Africa,Neutral,0,2019
Zirconium,Low Dependency,South Africa,Neutral,25,2020
Zirconium,Low Dependency,South Africa,Neutral,25,2021
Zirconium,Low Dependency,South Africa,Neutral,50,2022
Zirconium,Low Dependency,South Africa,Neutral,25,2023
